"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-117.31","49.49","NELSON CS","1145M29","2007-01-01","2007","01","01","","-2.0","","-3.8","","-2.9","","20.9","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-02","2007","01","02","","3.0","","-2.7","","0.2","","17.8","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-03","2007","01","03","","2.9","","0.3","","1.6","","16.4","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-04","2007","01","04","","2.7","","-0.8","","1.0","","17.0","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-05","2007","01","05","","0.0","","-5.4","","-2.7","","20.7","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-06","2007","01","06","","4.6","","-2.6","","1.0","","17.0","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-07","2007","01","07","","3.1","","-1.6","","0.8","","17.2","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-08","2007","01","08","","4.3","","-3.9","","0.2","","17.8","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-09","2007","01","09","","3.5","","-2.4","","0.6","","17.4","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-10","2007","01","10","","4.1","","-9.2","","-2.6","","20.6","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-11","2007","01","11","","-2.1","","-12.3","","-7.2","","25.2","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-12","2007","01","12","","-4.9","","-14.5","","-9.7","","27.7","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-13","2007","01","13","","-8.9","","-13.1","","-11.0","","29.0","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-14","2007","01","14","","-5.1","","-12.4","","-8.8","","26.8","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-15","2007","01","15","","-5.5","","-11.3","","-8.4","","26.4","","0.0","","","","","","","","","","","","",""
"-117.31","49.49","NELSON CS","1145M29","2007-01-16","2007","01","16","","-5.0","","-12.4","","-8.7","","26.7","","0.0","","","","","","","","","","","","",""
