"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-01","1975","01","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-02","1975","02","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-03","1975","03","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-04","1975","04","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-05","1975","05","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-06","1975","06","","","","","","","","","","","","M","0.0","","","M","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-07","1975","07","","","","","","","","","","","53.3","","0.0","","53.3","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-08","1975","08","","","","","","","","","","","70.4","","0.0","","70.4","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-09","1975","09","","","","","","","","","","","25.1","","0.0","","25.1","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-10","1975","10","","","","","","","","","","","55.1","","3.8","","58.9","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-11","1975","11","","","","","","","","","","","15.5","","21.8","","37.3","","10","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1975-12","1975","12","","","","","","","","","","","0.0","T","23.6","","23.6","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-01","1976","01","","","","","","","","","","","0.0","","50.0","","50.0","","28","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-02","1976","02","","","","","","","","","","","0.0","","60.5","","60.5","","56","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-03","1976","03","","","","","","","","","","","4.3","","20.8","","25.1","","30","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-04","1976","04","","","","","","","","","","","16.5","","2.0","","18.5","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-05","1976","05","","","","","","","","","","","23.1","","0.0","","23.1","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-06","1976","06","","","","","","","","","","","34.3","","0.0","","34.3","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-07","1976","07","","","","","","","","","","","37.6","","0.0","","37.6","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-08","1976","08","","","","","","","","","","","64.0","","0.0","","64.0","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-09","1976","09","","","","","","","","","","","9.4","","0.0","","9.4","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-10","1976","10","","","","","","","","","","","20.1","","0.0","","20.1","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-11","1976","11","","","","","","","","","","","2.8","E","19.3","","22.1","E","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1976-12","1976","12","","","","","","","","","","","0.0","","15.7","","15.7","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-01","1977","01","","","","","","","","","","","0.0","","10.1","","10.1","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-02","1977","02","","","","","","","","","","","0.0","","3.3","","3.3","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-03","1977","03","","","","","","","","","","","0.0","","13.7","","13.7","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-04","1977","04","","","","","","","","","","","","M","0.0","T","","M","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-05","1977","05","","","","","","","","","","","53.2","","0.0","","53.2","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-06","1977","06","","","","","","","","","","","31.5","","0.0","","31.5","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-07","1977","07","","","","","","","","","","","42.7","","0.0","","42.7","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-08","1977","08","","","","","","","","","","","29.8","","0.0","","29.8","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-09","1977","09","","","","","","","","","","","57.6","","0.0","","57.6","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-10","1977","10","","","","","","","","","","","12.9","","3.0","","15.9","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-11","1977","11","","","","","","","","","","","17.8","","42.1","","59.9","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1977-12","1977","12","","","","","","","","","","","0.0","","72.1","","72.1","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-01","1978","01","","","","","","","","","","","0.0","","77.5","","77.5","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-02","1978","02","","","","","","","","","","","0.0","","22.1","","22.1","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-03","1978","03","","","","","","","","","","","5.7","","5.1","","10.8","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-04","1978","04","","","","","","","","","","","60.4","","5.1","","65.5","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-05","1978","05","","","","","","","","","","","59.8","","0.0","","59.8","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-06","1978","06","","","","","","","","","","","27.0","","0.0","","27.0","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-07","1978","07","","","","","","","","","","","36.5","","0.0","","36.5","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-08","1978","08","","","","","","","","","","","24.3","","0.0","","24.3","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-09","1978","09","","","","","","","","","","","26.9","","0.0","","26.9","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-10","1978","10","","","","","","","","","","","8.7","","0.0","","8.7","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-11","1978","11","","","","","","","","","","","20.0","E","3.1","","23.1","E","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1978-12","1978","12","","","","","","","","","","","0.0","","27.0","","27.0","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-01","1979","01","","","","","","","","","","","0.0","","18.6","","18.6","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-02","1979","02","","","","","","","","","","","0.0","","26.4","","26.4","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-03","1979","03","","","","","","","","","","","2.6","","9.0","","11.6","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-04","1979","04","","","","","","","","","","","35.2","E","0.0","T","35.2","E","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-05","1979","05","","","","","","","","","","","26.1","","0.0","","26.1","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-06","1979","06","","","","","","","","","","","9.4","","0.0","","9.4","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-07","1979","07","","","","","","","","","","","16.7","","0.0","","16.7","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-08","1979","08","","","","","","","","","","","29.5","","0.0","","29.5","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-09","1979","09","","","","","","","","","","","5.4","","0.0","","5.4","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-10","1979","10","","","","","","","","","","","13.8","E","12.0","","25.8","E","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-11","1979","11","","","","","","","","","","","0.0","T","2.0","E","2.0","E","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1979-12","1979","12","","","","","","","","","","","0.0","T","44.6","","44.6","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-01","1980","01","","M","","M","","M","","M","","M","0.0","T","56.6","","56.6","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-02","1980","02","","M","","M","","M","","M","","M","6.8","","18.4","","25.2","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-03","1980","03","","M","","M","","M","","M","","M","6.2","","25.0","","31.2","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-04","1980","04","","M","","M","","M","","M","","M","23.9","","0.0","","23.9","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-05","1980","05","","M","","M","","M","","M","","M","50.0","","0.0","","50.0","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-06","1980","06","","M","","M","","M","","M","","M","64.1","","0.0","","64.1","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-07","1980","07","","M","","M","","M","","M","","M","27.5","","0.0","","27.5","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-08","1980","08","","M","","M","","M","","M","","M","48.3","","0.0","","48.3","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-09","1980","09","","M","","M","","M","","M","","M","25.3","","0.0","","25.3","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-10","1980","10","16.0","","-0.8","","7.6","","23.0","","-10.5","","14.7","","0.0","","14.7","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-11","1980","11","","M","","M","","M","","M","","M","","M","21.6","","","M","15","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1980-12","1980","12","","M","","M","","M","","M","","M","0.0","","98.2","","98.2","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-01","1981","01","","","","","","","","","","","0.0","","13.6","","13.6","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-02","1981","02","","","","","","","","","","","","M","","M","","M","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-03","1981","03","","","","","","","","","","","","M","0.0","","","M","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-04","1981","04","","","","","","","","","","","16.6","","6.4","","23.0","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-05","1981","05","","","","","","","","","","","97.5","","0.0","","97.5","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-06","1981","06","","","","","","","","","","","83.9","","0.0","T","83.9","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-07","1981","07","","","","","","","","","","","72.7","","0.0","","72.7","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-08","1981","08","","","","","","","","","","","8.8","","0.0","","8.8","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-09","1981","09","","","","","","","","","","","16.6","","0.0","","16.6","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-10","1981","10","","","","","","","","","","","27.6","","0.0","T","27.6","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-11","1981","11","","","","","","","","","","","26.3","","","M","","M","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1981-12","1981","12","","","","","","","","","","","0.0","","50.5","","50.5","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-01","1982","01","","","","","","","","","","","0.0","","56.1","","56.1","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-02","1982","02","","","","","","","","","","","15.5","","30.7","","46.2","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-03","1982","03","","","","","","","","","","","9.7","","15.1","","24.8","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-04","1982","04","","","","","","","","","","","11.2","","0.0","T","11.2","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-05","1982","05","","","","","","","","","","","19.7","E","0.0","","19.7","E","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-06","1982","06","","","","","","","","","","","42.9","E","0.0","","42.9","E","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-07","1982","07","","","","","","","","","","","14.4","","0.0","","14.4","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-08","1982","08","","","","","","","","","","","27.0","","0.0","","27.0","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-09","1982","09","","","","","","","","","","","70.0","","0.0","","70.0","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-10","1982","10","","","","","","","","","","","16.6","","0.0","","16.6","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-11","1982","11","","","","","","","","","","","0.2","","11.4","","11.6","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1982-12","1982","12","","","","","","","","","","","0.0","","56.5","","56.5","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-01","1983","01","","","","","","","","","","","0.0","","19.2","","19.2","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-02","1983","02","","","","","","","","","","","0.0","T","11.3","","11.3","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-03","1983","03","","","","","","","","","","","","M","1.8","","","M","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-04","1983","04","","","","","","","","","","","49.4","E","5.4","E","54.8","E","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-05","1983","05","","","","","","","","","","","10.9","","0.0","","10.9","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-06","1983","06","","","","","","","","","","","78.4","","0.0","","78.4","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-07","1983","07","","","","","","","","","","","31.7","","0.0","","31.7","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-08","1983","08","","","","","","","","","","","45.7","","0.0","","45.7","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-09","1983","09","","","","","","","","","","","11.5","","0.0","T","11.5","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-10","1983","10","","","","","","","","","","","10.5","","0.0","","10.5","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-11","1983","11","","","","","","","","","","","35.2","E","23.8","E","59.0","E","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1983-12","1983","12","","","","","","","","","","","0.0","","37.4","E","37.4","E","32","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-01","1984","01","","","","","","","","","","","3.7","","18.1","","21.8","","18","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-02","1984","02","","","","","","","","","","","0.8","","17.2","","18.0","","22","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-03","1984","03","","","","","","","","","","","14.2","","0.0","T","14.2","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-04","1984","04","","","","","","","","","","","35.6","E","0.5","E","36.1","E","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-05","1984","05","","","","","","","","","","","54.0","","0.0","","54.0","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-06","1984","06","","","","","","","","","","","87.2","","0.0","","87.2","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-07","1984","07","","","","","","","","","","","38.4","","0.0","","38.4","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-08","1984","08","","","","","","","","","","","17.4","","0.0","","17.4","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-09","1984","09","","","","","","","","","","","31.9","","0.0","","31.9","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-10","1984","10","","","","","","","","","","","10.2","","2.8","E","13.0","E","0","T","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-11","1984","11","","","","","","","","","","","16.0","","49.4","","65.4","","25","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1984-12","1984","12","","","","","","","","","","","0.3","","47.5","","47.8","","49","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-01","1985","01","","","","","","","","","","","0.0","","3.0","","3.0","","42","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-02","1985","02","","","","","","","","","","","1.0","","24.2","","25.2","","42","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-03","1985","03","","","","","","","","","","","1.0","","2.0","","3.0","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-04","1985","04","","","","","","","","","","","13.2","E","2.8","E","16.0","E","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-05","1985","05","","","","","","","","","","","29.6","","0.0","","29.6","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-06","1985","06","","","","","","","","","","","56.7","","0.0","","56.7","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-07","1985","07","","","","","","","","","","","3.0","","0.0","","3.0","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-08","1985","08","","","","","","","","","","","44.3","","0.0","","44.3","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-09","1985","09","","","","","","","","","","","79.3","","10.6","","89.9","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-10","1985","10","","","","","","","","","","","53.0","E","6.5","E","59.5","E","1","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-11","1985","11","","","","","","","","","","","4.4","","11.7","","16.1","","4","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1985-12","1985","12","","","","","","","","","","","0.0","","12.8","","12.8","","14","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-01","1986","01","","","","","","","","","","","4.0","E","23.6","E","27.6","E","27","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-02","1986","02","","","","","","","","","","","7.8","","60.8","","68.6","","35","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-03","1986","03","","","","","","","","","","","22.3","","0.0","","22.3","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-04","1986","04","","","","","","","","","","","24.9","","18.4","E","43.3","E","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-05","1986","05","","","","","","","","","","","36.0","","0.0","","36.0","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-06","1986","06","","","","","","","","","","","48.8","","0.0","","48.8","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-07","1986","07","","","","","","","","","","","32.8","","0.0","","32.8","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-08","1986","08","","","","","","","","","","","14.2","","0.0","","14.2","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-09","1986","09","","","","","","","","","","","47.8","","0.0","","47.8","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-10","1986","10","","","","","","","","","","","24.3","","0.0","","24.3","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-11","1986","11","","","","","","","","","","","19.5","","56.3","","75.8","","18","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1986-12","1986","12","","","","","","","","","","","0.0","","11.2","","11.2","","22","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-01","1987","01","","M","","M","","M","","M","","M","0.0","","31.6","","31.6","","34","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-02","1987","02","","M","","M","","M","","M","","M","3.0","E","7.6","E","10.6","E","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-03","1987","03","","M","","M","","M","","M","","M","23.2","E","5.8","E","29.0","E","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-04","1987","04","","M","","M","","M","","M","","M","24.7","","0.0","","24.7","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-05","1987","05","","M","","M","","M","","M","","M","12.4","","0.0","","12.4","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-06","1987","06","","M","","M","","M","","M","","M","36.8","","0.0","","36.8","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-07","1987","07","","M","","M","","M","","M","","M","48.8","","0.0","","48.8","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-08","1987","08","","M","","M","","M","","M","","M","18.8","","0.0","","18.8","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-09","1987","09","","M","","M","","M","","M","","M","13.6","","0.0","","13.6","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-10","1987","10","","M","","M","","M","","M","","M","3.8","","0.0","","3.8","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-11","1987","11","4.4","E","-4.0","E","0.2","E","","M","","M","9.2","","8.2","","17.4","","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1987-12","1987","12","-2.1","","-13.3","","-7.7","","7.0","","-23.0","","10.4","E","34.4","","44.8","E","21","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-01","1988","01","-3.9","","-17.3","","-10.6","","7.0","S","-30.0","","2.2","","24.7","","26.9","","30","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-02","1988","02","3.4","","-11.9","","-4.3","","11.5","","-28.0","","0.0","T","6.2","","6.2","","20","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-03","1988","03","8.3","","-3.4","","2.5","","15.0","","-7.0","S","20.6","","16.4","E","37.0","E","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-04","1988","04","15.2","","-0.6","","7.3","","26.0","","-5.5","S","21.2","E","2.5","E","23.7","E","","M","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-05","1988","05","18.3","","3.2","","10.8","","29.5","","-3.5","","40.3","","1.0","","41.3","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-06","1988","06","22.8","","7.0","","14.9","","29.5","S","-1.0","","42.3","","0.0","","42.3","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-07","1988","07","26.5","","7.9","","17.2","","34.5","","2.0","","16.9","","0.0","","16.9","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-08","1988","08","26.1","","6.6","","16.4","","32.5","","1.5","","26.5","","0.0","","26.5","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-09","1988","09","20.2","","2.4","","11.3","","33.5","S","-3.0","","40.5","","0.0","","40.5","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-10","1988","10","16.0","","-0.8","","7.6","","23.0","","-10.5","","14.7","","0.0","","14.7","","0","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-11","1988","11","4.6","E","-6.0","","-0.7","E","17.0","","-12.0","","41.8","","16.2","","58.0","","10","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1988-12","1988","12","-2.4","","-10.0","","-6.2","","8.5","","-21.0","","2.0","","26.0","E","28.0","E","26","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1989-01","1989","01","-0.8","","-12.1","","-6.5","","9.5","","-26.5","","6.2","","34.2","","40.4","","26","","","","",""
"-115.96","49.63","KIMBERLEY PCC","1154203","1989-02","1989","02","-4.3","","-16.5","","-10.4","","7.0","","-32.5","","0.0","","27.4","E","27.4","E","44","","","","",""
